Post Date,Transaction Date,Description,Amount,Info
03/25/2026 4:00PM PDT,03/25/2026 4:00PM PDT,Purchase,-$1.75,"114 Troutman St | Dryer 15
114 Troutman St,Brooklyn,NY11206"
03/25/2026 4:00PM PDT,03/25/2026 4:00PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 15
114 Troutman St,Brooklyn,NY11206"
03/25/2026 4:00PM PDT,03/25/2026 3:59PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 15
114 Troutman St,Brooklyn,NY11206"
03/25/2026 1:38PM PDT,03/25/2026 1:38PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 15
114 Troutman St,Brooklyn,NY11206"
03/25/2026 1:37PM PDT,03/25/2026 1:37PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 15
114 Troutman St,Brooklyn,NY11206"
03/25/2026 1:36PM PDT,03/25/2026 1:36PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 15
114 Troutman St,Brooklyn,NY11206"
03/25/2026 1:35PM PDT,03/25/2026 1:35PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 15
114 Troutman St,Brooklyn,NY11206"
03/25/2026 1:34PM PDT,03/25/2026 1:34PM PDT,Purchase,-$1.75,"114 Troutman St | Dryer 15
114 Troutman St,Brooklyn,NY11206"
03/25/2026 10:31AM PDT,03/25/2026 10:31AM PDT,Purchase,-$3.00,"114 Troutman St | Washer 06
114 Troutman St,Brooklyn,NY11206"
03/18/2026 4:27PM PDT,03/18/2026 4:27PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
03/18/2026 4:26PM PDT,03/18/2026 4:26PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
03/18/2026 4:25PM PDT,03/18/2026 4:25PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
03/18/2026 4:23PM PDT,03/18/2026 4:23PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
03/18/2026 4:23PM PDT,03/18/2026 4:23PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
03/18/2026 4:23PM PDT,03/18/2026 4:23PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
03/18/2026 4:23PM PDT,03/18/2026 4:22PM PDT,Purchase,-$1.75,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
03/18/2026 4:21PM PDT,03/18/2026 4:21PM PDT,Purchase,-$1.75,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
03/18/2026 2:14PM PDT,03/18/2026 2:14PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
03/18/2026 2:13PM PDT,03/18/2026 2:13PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 15
114 Troutman St,Brooklyn,NY11206"
03/18/2026 2:13PM PDT,03/18/2026 2:13PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
03/18/2026 2:13PM PDT,03/18/2026 2:13PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
03/18/2026 2:13PM PDT,03/18/2026 2:13PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
03/18/2026 2:12PM PDT,03/18/2026 2:12PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
03/18/2026 2:12PM PDT,03/18/2026 2:12PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
03/18/2026 2:12PM PDT,03/18/2026 2:12PM PDT,Purchase,-$1.75,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
03/18/2026 2:12PM PDT,03/18/2026 2:12PM PDT,Purchase,-$0.25,"114 Troutman St | Stack Dryer 14
114 Troutman St,Brooklyn,NY11206"
03/18/2026 2:12PM PDT,03/18/2026 2:12PM PDT,Purchase,-$0.25,"114 Troutman St | Stack Dryer 14
114 Troutman St,Brooklyn,NY11206"
03/18/2026 2:11PM PDT,03/18/2026 2:11PM PDT,Purchase,-$0.25,"114 Troutman St | Stack Dryer 14
114 Troutman St,Brooklyn,NY11206"
03/18/2026 2:11PM PDT,03/18/2026 2:11PM PDT,Purchase,-$0.25,"114 Troutman St | Stack Dryer 14
114 Troutman St,Brooklyn,NY11206"
03/18/2026 2:11PM PDT,03/18/2026 2:11PM PDT,Purchase,-$1.75,"114 Troutman St | Stack Dryer 14
114 Troutman St,Brooklyn,NY11206"
03/18/2026 2:11PM PDT,03/18/2026 2:10PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 15
114 Troutman St,Brooklyn,NY11206"
03/18/2026 2:10PM PDT,03/18/2026 2:10PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 15
114 Troutman St,Brooklyn,NY11206"
03/18/2026 2:10PM PDT,03/18/2026 2:10PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 15
114 Troutman St,Brooklyn,NY11206"
03/18/2026 2:10PM PDT,03/18/2026 2:10PM PDT,Purchase,-$1.75,"114 Troutman St | Dryer 15
114 Troutman St,Brooklyn,NY11206"
03/18/2026 2:01PM PDT,03/18/2026 2:01PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
03/18/2026 2:00PM PDT,03/18/2026 2:00PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
03/18/2026 2:00PM PDT,03/18/2026 2:00PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
03/18/2026 2:00PM PDT,03/18/2026 2:00PM PDT,Purchase,-$0.25,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
03/18/2026 2:00PM PDT,03/18/2026 2:00PM PDT,Purchase,-$1.75,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
03/18/2026 12:50PM PDT,03/18/2026 12:50PM PDT,Added Funds,+$25.00,"
Added Funds using MasterCard-0689"
03/18/2026 12:50PM PDT,03/18/2026 12:50PM PDT,Purchase,-$3.00,"114 Troutman St | Washer 07
114 Troutman St,Brooklyn,NY11206"
03/18/2026 12:50PM PDT,03/18/2026 12:50PM PDT,Purchase,-$3.00,"114 Troutman St | Washer 06
114 Troutman St,Brooklyn,NY11206"
03/18/2026 12:50PM PDT,03/18/2026 12:49PM PDT,Purchase,-$3.00,"114 Troutman St | Washer 04
114 Troutman St,Brooklyn,NY11206"
03/18/2026 12:49PM PDT,03/18/2026 12:49PM PDT,Purchase,-$3.00,"114 Troutman St | Washer 03
114 Troutman St,Brooklyn,NY11206"
03/05/2026 3:31PM PST,03/05/2026 3:31PM PST,Purchase,-$0.25,"114 Troutman St | Stack Dryer 14
114 Troutman St,Brooklyn,NY11206"
03/05/2026 3:31PM PST,03/05/2026 3:31PM PST,Purchase,-$0.25,"114 Troutman St | Stack Dryer 14
114 Troutman St,Brooklyn,NY11206"
03/05/2026 3:31PM PST,03/05/2026 3:31PM PST,Purchase,-$0.25,"114 Troutman St | Stack Dryer 14
114 Troutman St,Brooklyn,NY11206"
03/05/2026 3:30PM PST,03/05/2026 3:30PM PST,Purchase,-$0.25,"114 Troutman St | Stack Dryer 14
114 Troutman St,Brooklyn,NY11206"
03/05/2026 3:30PM PST,03/05/2026 3:30PM PST,Purchase,-$1.75,"114 Troutman St | Stack Dryer 14
114 Troutman St,Brooklyn,NY11206"
03/05/2026 3:30PM PST,03/05/2026 3:30PM PST,Purchase,-$0.25,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
03/05/2026 3:30PM PST,03/05/2026 3:29PM PST,Purchase,-$0.25,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
03/05/2026 3:29PM PST,03/05/2026 3:29PM PST,Purchase,-$0.25,"114 Troutman St | Dryer 13
114 Troutman St,Brooklyn,NY11206"
